,STATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
48,USW00093738,2015-02-18,8.95,0.0,0.4,17,33,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,USW00093738,2015-02-19,17.67,0.0,0.1,14,15,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
50,USW00093738,2015-02-20,8.95,0.0,0.0,9,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,USW00093738,2015-02-21,8.5,0.93,8.9,16,33,9,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
52,USW00093738,2015-02-22,2.91,0.0,0.0,36,46,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,USW00093738,2015-02-23,12.53,0.0,0.0,31,38,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,USW00093738,2015-02-24,5.37,0.0,0.0,15,27,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,USW00093738,2015-02-25,3.8,0.0,0.0,23,38,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,USW00093738,2015-02-26,4.47,0.1,2.1,32,34,28,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57,USW00093738,2015-02-27,8.72,0.0,0.0,28,31,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,USW00093738,2015-02-28,3.8,0.0,0.0,22,30,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,USW00093738,2015-03-01,4.47,0.31,0.1,24,31,19,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
60,USW00093738,2015-03-02,10.07,0.0,0.0,35,41,27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,USW00093738,2015-03-03,8.72,0.0,0.0,30,37,25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,USW00093738,2015-03-04,4.92,0.33,0.0,39,46,36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,USW00093738,2015-03-05,12.3,0.88,9.5,33,41,18,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
64,USW00093738,2015-03-06,4.92,0.0,0.0,18,27,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,USW00093738,2015-03-07,6.93,0.0,0.0,20,47,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
